Id,SalePrice
1461,140000
1462,145250
1463,172400
1464,189000
1465,189000
1466,188000
1467,176000
1468,176000
1469,176000
1470,112500
1471,197000
1472,89500
1473,89500
1474,146000
1475,146000
1476,320000
1477,235128
1478,320000
1479,320000
1480,320000
1481,280000
1482,185850
1483,176000
1484,167240
1485,174000
1486,180000
1487,275000
1488,232000
1489,208300
1490,176000
1491,213500
1492,140000
1493,215000
1494,280000
1495,285000
1496,197000
1497,151000
1498,151000
1499,151000
1500,151000
1501,168500
1502,148800
1503,208300
1504,207500
1505,176000
1506,140000
1507,210000
1508,175000
1509,140000
1510,145250
1511,140000
1512,140000
1513,140000
1514,112000
1515,175000
1516,140000
1517,140000
1518,135000
1519,214000
1520,132500
1521,109008
1522,140000
1523,140000
1524,120000
1525,110000
1526,120000
1527,117000
1528,120000
1529,141000
1530,139000
1531,139000
1532,99900
1533,153000
1534,115000
1535,140000
1536,140000
1537,91000
1538,140000
1539,189000
1540,80000
1541,140000
1542,140000
1543,140000
1544,109500
1545,140000
1546,140000
1547,140000
1548,140000
1549,144000
1550,162900
1551,140000
1552,140000
1553,96500
1554,140000
1555,150000
1556,140000
1557,160000
1558,140000
1559,160000
1560,160000
1561,136000
1562,153000
1563,119000
1564,144000
1565,130000
1566,190000
1567,113000
1568,215000
1569,140000
1570,140000
1571,140000
1572,140000
1573,208300
1574,140000
1575,316600
1576,201000
1577,208300
1578,140000
1579,148000
1580,191000
1581,119000
1582,112500
1583,320000
1584,191000
1585,192500
1586,108000
1587,139000
1588,140000
1589,140000
1590,107000
1591,103200
1592,140000
1593,140000
1594,90000
1595,96500
1596,140000
1597,124500
1598,145000
1599,189000
1600,189000
1601,113000
1602,140000
1603,55993
1604,286000
1605,210000
1606,175000
1607,135000
1608,205000
1609,208300
1610,176000
1611,140000
1612,201000
1613,176000
1614,134000
1615,83500
1616,83500
1617,83500
1618,124500
1619,207500
1620,189000
1621,188000
1622,140000
1623,350000
1624,237000
1625,140000
1626,140000
1627,187500
1628,354000
1629,163900
1630,286000
1631,251000
1632,251000
1633,163900
1634,188000
1635,165600
1636,176000
1637,141000
1638,195000
1639,181000
1640,215000
1641,181000
1642,205950
1643,250000
1644,207500
1645,181000
1646,140000
1647,140000
1648,140000
1649,140000
1650,139000
1651,124500
1652,89500
1653,89500
1654,146000
1655,146000
1656,146000
1657,146000
1658,146000
1659,146000
1660,160000
1661,320000
1662,402861
1663,320000
1664,320000
1665,320000
1666,377426
1667,354000
1668,320000
1669,280000
1670,320000
1671,320000
1672,320000
1673,354000
1674,275500
1675,185850
1676,207500
1677,185850
1678,320000
1679,377426
1680,320000
1681,320000
1682,297000
1683,185850
1684,180000
1685,174000
1686,192500
1687,174000
1688,180000
1689,180000
1690,180000
1691,180000
1692,214900
1693,176000
1694,172400
1695,176000
1696,181000
1697,189000
1698,315000
1699,350000
1700,315750
1701,215000
1702,245350
1703,235128
1704,297000
1705,280000
1706,320000
1707,250580
1708,210000
1709,262500
1710,262500
1711,250000
1712,250580
1713,207500
1714,185000
1715,207500
1716,179900
1717,176000
1718,84500
1719,201000
1720,205000
1721,176000
1722,84500
1723,158000
1724,195400
1725,215000
1726,201000
1727,179200
1728,210000
1729,215000
1730,126000
1731,62383
1732,150000
1733,132500
1734,140000
1735,130500
1736,141000
1737,350000
1738,210000
1739,147400
1740,250580
1741,197000
1742,168500
1743,168500
1744,320000
1745,275000
1746,160000
1747,140000
1748,170000
1749,160000
1750,140000
1751,215000
1752,120500
1753,140000
1754,140000
1755,175000
1756,124500
1757,109008
1758,110000
1759,139000
1760,141000
1761,140000
1762,140000
1763,140000
1764,141000
1765,140000
1766,150000
1767,207500
1768,140000
1769,140000
1770,145500
1771,139000
1772,150000
1773,125000
1774,135000
1775,140000
1776,140000
1777,119000
1778,145500
1779,109900
1780,120000
1781,140000
1782,126175
1783,140000
1784,79000
1785,64500
1786,140000
1787,140000
1788,103200
1789,140000
1790,64500
1791,154300
1792,140000
1793,140000
1794,127500
1795,150000
1796,160000
1797,140000
1798,139000
1799,119000
1800,159950
1801,140000
1802,140000
1803,140000
1804,148000
1805,140000
1806,64500
1807,124500
1808,140000
1809,79000
1810,140000
1811,137000
1812,96500
1813,140000
1814,157000
1815,108000
1816,140000
1817,140000
1818,140000
1819,140000
1820,103200
1821,125000
1822,140000
1823,79000
1824,115000
1825,120000
1826,79000
1827,133000
1828,115000
1829,141000
1830,140000
1831,140000
1832,140000
1833,140000
1834,79000
1835,200000
1836,79000
1837,139000
1838,140000
1839,108500
1840,176000
1841,140000
1842,109000
1843,132000
1844,175000
1845,140000
1846,140000
1847,175000
1848,109900
1849,90000
1850,113000
1851,140000
1852,127500
1853,213500
1854,175000
1855,175000
1856,215000
1857,168000
1858,126000
1859,126000
1860,144000
1861,126000
1862,320000
1863,320000
1864,320000
1865,320000
