Id,SalePrice
1461,125000
1462,160000
1463,192000
1464,193000
1465,180000
1466,185000
1467,173000
1468,185000
1469,173000
1470,125000
1471,181000
1472,106000
1473,106000
1474,148500
1475,148500
1476,485000
1477,233170
1478,315000
1479,556581
1480,466500
1481,255000
1482,202500
1483,187100
1484,160200
1485,180000
1486,183500
1487,290000
1488,227000
1489,248328
1490,185000
1491,180000
1492,141500
1493,125000
1494,290000
1495,260000
1496,328900
1497,144152
1498,144152
1499,144152
1500,144152
1501,177500
1502,165000
1503,394432
1504,216000
1505,185000
1506,190000
1507,236000
1508,175000
1509,154000
1510,156000
1511,145000
1512,145000
1513,158000
1514,119000
1515,155000
1516,143000
1517,148000
1518,110000
1519,272000
1520,135000
1521,135000
1522,155000
1523,135000
1524,135000
1525,145000
1526,125000
1527,100000
1528,115000
1529,139000
1530,155000
1531,135000
1532,115000
1533,142125
1534,100000
1535,125500
1536,105000
1537,60000
1538,117500
1539,140000
1540,122000
1541,125500
1542,135000
1543,239000
1544,100000
1545,119000
1546,131000
1547,119000
1548,135000
1549,100000
1550,135000
1551,113000
1552,135000
1553,127000
1554,135000
1555,165000
1556,138887
1557,107500
1558,110000
1559,130000
1560,140000
1561,136500
1562,130000
1563,129500
1564,171000
1565,125000
1566,260000
1567,76000
1568,240000
1569,155000
1570,147000
1571,115000
1572,129000
1573,324000
1574,190000
1575,260000
1576,284000
1577,206000
1578,127000
1579,138000
1580,178000
1581,190000
1582,110000
1583,305900
1584,178000
1585,144000
1586,72500
1587,110000
1588,148000
1589,135000
1590,125000
1591,115000
1592,115000
1593,115000
1594,82000
1595,113000
1596,160000
1597,145000
1598,167500
1599,180000
1600,180000
1601,60000
1602,110000
1603,135000
1604,275000
1605,226000
1606,171500
1607,150900
1608,255000
1609,233170
1610,167500
1611,115000
1612,145000
1613,145000
1614,143000
1615,91500
1616,91500
1617,85000
1618,132000
1619,125000
1620,200000
1621,147000
1622,127000
1623,260000
1624,226000
1625,115000
1626,205000
1627,181000
1628,290000
1629,168500
1630,278000
1631,278000
1632,236500
1633,180000
1634,192000
1635,185000
1636,173000
1637,185000
1638,190000
1639,165000
1640,250000
1641,175500
1642,226000
1643,226000
1644,254900
1645,175000
1646,205000
1647,175500
1648,140000
1649,135000
1650,110000
1651,97000
1652,100000
1653,106000
1654,148500
1655,148500
1656,148500
1657,148500
1658,148500
1659,148500
